Molecule ChEMBL ID,Smiles,Standard Type,Standard Units,Standard Value
CHEMBL3688703,N#Cc1ccc(C(=O)Nc2ccc(Cl)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)nc1,IC50,nM,9510.0
CHEMBL3958023,CCCN1C(=O)C2(N=C1N)c1cc(C#CC3CC3)ccc1CC21CCC(OC)CC1,IC50,nM,5.2
CHEMBL3979006,NC1=NC2(CCS1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1c2cc(C2=CCOCC2)nc1F,IC50,nM,1.0
CHEMBL3653367,COc1ccc(C(=O)Nc2cccc([C@]3(C)COCC(N)=N3)c2)nc1,IC50,nM,330.0
CHEMBL3653371,NC1=NC(c2cccc(NC(=O)c3ccc(Br)cn3)c2)(C(F)F)COC1,IC50,nM,560.0
CHEMBL3948764,NC1=NC2(CCO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1c2cc(Cl)nc1F,IC50,nM,6.8
CHEMBL3947677,NC1=NC2(CCO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1ncc(C3=CCOCC3)cc12,IC50,nM,2.7
CHEMBL3683917,NC1=N[C@@](c2cc(NC(=O)c3cnc(OCc4cnco4)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,IC50,nM,81.1
CHEMBL501029,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCCC2CCN(Cc3ccccc3)CC2)cc([N+](=O)[O-])c1)c1ccccc1,IC50,nM,7021.0
CHEMBL3688764,COc1cnc2c(Nc3ccc(F)c([C@@]4(C)N=C(N)O[C@@H]5C[C@@H]54)c3)nccc2c1,IC50,nM,506.5
CHEMBL3974127,COCC(C)N1C(=O)C2(N=C1N)c1cc(C#N)ccc1CC21CCC(OC)CC1,IC50,nM,333.2
CHEMBL3645168,CC1(c2cccc(NC(=O)c3ccc(Br)cn3)c2)CCSC(N)=N1,IC50,nM,37.0
CHEMBL3969602,C[C@@]1(c2cc(NC(=O)c3nn(C(F)F)cc3Cl)cnc2F)C[C@@H](C(F)(F)F)OC(N)=N1,IC50,nM,27.5
CHEMBL3656170,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCOCC1,IC50,nM,465.8
CHEMBL3304357,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNC(=O)c4cc(O)c5c(c4)C(=O)c4cccc(O)c4C5=O)c3C(C1)C2,IC50,nM,980.0
CHEMBL3653659,CC1=NC2(CCOc3ccc(-c4cc(F)cc(F)c4)cc32)N=C1N,IC50,nM,1700.0
CHEMBL3924515,CC#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,IC50,nM,3.0
CHEMBL3924839,Cc1onc2c1CC1(CC2)Cc2ccc(C#CC3CC3)cc2C12N=C(N)N(C)C2=O,IC50,nM,2.8
CHEMBL3645173,CC1(c2cccc(NC(=O)c3ccc(C(N)=O)cn3)c2)CCSC(N)=N1,IC50,nM,435.0
CHEMBL3394219,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCCCO2)nc1F,IC50,nM,2.6
CHEMBL3653403,C[C@@]1(c2cc(NC(=O)c3ncc(C#N)cn3)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,IC50,nM,34.0
CHEMBL3653404,C[C@@]1(c2cc(NC(=O)c3ncc(Br)cn3)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,IC50,nM,16.0
CHEMBL3261067,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c1,IC50,nM,10.0
CHEMBL3688791,COc1cnc2c(Nc3ccc(F)c([C@@]4(C(F)F)N=C(N)O[C@@H]5C[C@@H]54)c3)ncc(F)c2c1,IC50,nM,117.35
CHEMBL3656146,COc1cc(Cl)cc(-c2ccc3c(c2)C2(N=C(N)N(C)O2)C2(CCc4ccccc4CC2)C3)c1,IC50,nM,38.3
CHEMBL3944703,COC(C)c1ccc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)cc1,IC50,nM,210.0
CHEMBL4108836,C[C@H]1C[C@]2(Cc3ccc(C#N)cc3[C@]23N=C(N)N(CC(C)(C)Cl)C3=O)C[C@@H](C)[C@@H]1O,IC50,nM,3.0
CHEMBL3968709,COC1CCC2(CC1)Cc1ccc(-c3cccnc3F)cc1C21N=C(N)N(C)C1=O,IC50,nM,2.9
CHEMBL3670316,NC1=NC(c2cccc(F)c2)(c2cccc(NC(=O)c3ncc(Cl)cc3Cl)c2)CS1,IC50,nM,352.0
CHEMBL3973815,COc1cc(F)c2c(c1)C1(CCSC(N)=N1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1O2,IC50,nM,19.3
CHEMBL3942431,N#Cc1ccc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)cc1,IC50,nM,42.0
CHEMBL3672414,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2cc(O)ccc2[N+](=O)[O-])cc1O,IC50,nM,630.0
CHEMBL3973889,COCc1cc(Cl)cnc1C(=O)Nc1cc(F)c(F)c([C@]2(C)C[C@@H](C(F)(F)F)OC(N)=N2)c1,IC50,nM,14.5
CHEMBL2425610,COc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N,IC50,nM,29.5
CHEMBL3908288,C#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)n2)cn1,IC50,nM,16.9
CHEMBL3670304,CC1=CSC(N)=N[C@]1(C)c1cc(NC(=O)c2cnc(C)cn2)ccc1F,IC50,nM,5280.0
CHEMBL3683897,C#C[C@@H](C)Oc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)cn1,IC50,nM,195.0
CHEMBL3891152,C[C@@]1(c2cc(NC(=O)c3cnc(OCC(F)(F)F)cn3)cc(Cl)c2F)C[C@@H](C(F)(F)F)OC(N)=N1,IC50,nM,8.0
CHEMBL3933430,[C-]#[N+]c1cc(C#N)cc(-c2ccc3c(c2)C2(N=C(N)N(C)C2=O)C2(CCC(OC)CC2)C3)c1,IC50,nM,1.1
CHEMBL4112850,COC1CCC2(CC1)Cc1ccc(OCC3CC3)cc1[C@]21N=C(N)N(C)C1=O,IC50,nM,2.1
CHEMBL3912399,COC1CCC2(CC1)Cc1ccc(OCC3CC3)cc1[C@@]21N=C(N)N(C)C1=O,IC50,nM,423.4
CHEMBL3953251,C[C@@]1(c2cc(Nc3nccc4cc(Cl)cnc34)cnc2F)C[C@@H](C(F)(F)F)OC(N)=N1,IC50,nM,37.45
CHEMBL2380812,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2cscc2-c2cc[nH]n2)C(=O)O)=N1,IC50,nM,1260.0
CHEMBL485319,CCCN1CC(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCN(Cc3ccccc3)C2=O)CC1=O,IC50,nM,905.0
CHEMBL3680861,C[C@]1(c2cc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)N=C(N)OC[C@@H]1F,IC50,nM,2.0
CHEMBL3634124,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)CO[C@H]3F)c2)cn1,IC50,nM,97.5
CHEMBL533064,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc13)N(CC)S(=O)(=O)CC2,IC50,nM,18.5
CHEMBL3695754,COc1ccc2c(c1)C1(N=C(N)N(C)C1=O)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1O2,IC50,nM,6.7
CHEMBL3656159,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2ccccc2C1,IC50,nM,159.6
CHEMBL252219,COc1ccccc1-c1ccc(-c2ccc(Oc3ccc(C(C)=O)cc3)cc2)n1CC(=O)NC(=N)N,IC50,nM,1600.0
CHEMBL237283,N/C(=N/C(=O)Cc1c(-c2ccccc2Cl)csc1-c1ccc(C(=O)NCC(F)(F)F)cc1)NCCCO,IC50,nM,200.0
CHEMBL2178181,COc1ccc(-c2nsc(C)c2C(=O)/N=C(\N)NCc2cc(C)c(NC(C)=O)c(Cl)c2)cc1,IC50,nM,240.0
CHEMBL2181901,COCC(=O)N[C@@H](Cc1ccc(F)c(-c2nccs2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,nM,10.55
CHEMBL2181916,CC(C)(C)Cc1cnc2c(c1)[C@@H](NC[C@@H](O)[C@H](Cc1cccc(-c3nccs3)c1)NC(=O)[C@@H]1CCCO1)CC1(CCC1)O2,IC50,nM,7.55
